province,pop1900,pop1910,pop1920,pop1930
Alava,96385,97181,98668,104176
Albacete,237877,264698,291833,332619
Alicante,470149,497616,512186,545838
Almeria,359013,380388,358149,341550
Avila,200457,208796,209360,221386
Badajoz,520246,593206,644625,702418
Baleares,311649,326023,338894,365512
Barcelona,1054541,1141733,1349282,1800638
Burgos,338828,346694,336472,355299
Caceres,362164,397785,410032,449756
Cadiz,452659,470092,547827,507972
Canarias,358564,444016,457663,555128
Castellon,310828,322213,306886,308746
Ciudad Real,321580,379674,427365,491657
Cordoba,455859,498782,565262,668862
Coruna (La),653556,676708,708660,767608
Cuenca,249696,269634,281628,309526
Gerona,299287,319679,325619,325551
Granada,492460,522605,573682,643705
Guadalajara,200186,209352,201444,203998
Guipuzcoa,195850,226684,258557,302329
Huelva,260880,309888,330402,354963
Huesca,244867,248257,250508,242958
Jaen,474490,526718,592297,674415
Leon,386083,395430,412417,441908
Lerida,274590,284971,314670,314435
Logroño,189376,188235,192940,203789
Lugo,465386,479965,469705,468619
Madrid,775034,878641,1067637,1383951
Malaga,511989,523412,554301,613160
Murcia,577987,615105,638639,645449
Navarra,307669,312235,329875,345883
Orense,404311,411560,412460,426043
Oviedo,627069,685131,743726,791855
Palencia,192473,196031,191719,207546
Pontevedra,457262,495356,533419,568011
Salamanca,320765,334377,321615,339101
Santander,276003,302956,327669,364147
Segovia,159243,167747,167081,174158
Sevilla,555256,597031,703747,805252
Soria,150462,156354,151595,156207
Tarragona,337964,338485,355148,350668
Teruel,246001,255491,252096,252785
Toledo,376814,413217,442933,489396
Valencia,806556,884298,926442,1042154
Valladolid,278561,284473,280931,301571
Vizcaya,311361,349923,409550,485205
Zamora,275545,272976,266215,280148
Zaragoza,421843,448995,494550,535816
