city,pop1900,pop1910,pop1920,pop1930
"Albany, NY",94151,100253,113344,127412
"Baltimore, MD",508957,558485,733826,804874
"Birmingham, AL",38415,132685,178806,259678
"Boston, MA",560892,670585,748060,781188
"Buffalo, NY",352387,423715,506775,573076
"Cambridge, MA",91886,104839,109694,113643
"Chicago, IL",1698575,2185283,2701705,3376438
"Cincinnati, OH",325902,363591,401247,451160
"Cleveland, OH",381768,560663,796841,900429
"Columbus, OH",125560,181511,237031,290564
"Dayton, OH",85333,116577,152559,200982
"Denver, CO",133859,213381,256491,287861
"Fall River, MA",104863,119295,120485,115274
"Grand Rapids, MI",87565,112571,137634,168592
"Indianapolis, IN",169164,233650,314194,364161
"Kansas City, MO",163752,248381,324410,399746
"Los Angeles, CA",102479,319198,576673,1238048
"Louisville, KY",204731,223928,234891,307745
"Lowell, MA",94969,106294,112759,100234
"Milwaukee, WI",285315,373857,457147,578249
"Minneapolis, MN",202718,301408,380582,464356
"Nashville, TN",80865,110364,118342,153866
"New Haven, CT",108027,133605,162537,162655
"New Orleans, LA",287104,339075,387219,458762
"New York City, NY",3437202,4766883,5620048,6930446
"Newark, NJ",246070,347469,414524,442337
"Oakland, CA",66960,150174,216261,284063
"Omaha, NE",102555,124096,191601,214006
"Philadelphia, PA",1293697,1549008,1823779,1950961
"Pittsburgh, PA",321616,533905,588343,669817
"Portland, OR",50145,207214,258288,301815
"Providence, RI",175597,224326,237595,252981
"Richmond, VA",85050,127628,171667,182929
"Rochester, NY",162608,218149,295750,328132
"San Francisco, CA",342782,416912,506676,634394
"Seattle, WA",80671,237194,315312,365583
"Spokane, WA",36848,104402,104437,115514
"St Louis, MO",575238,687029,772897,821960
"St. Paul, MN",163065,214744,234698,271606
"Syracuse, NY",108374,137249,171717,209326
"Toledo, OH",131822,168497,243164,290718
"Washington, DC",278718,331069,437571,486869
"Worchester, MA",118421,145986,179754,195311
